DOLocationID,dohour,mean_hour,sd_hour
14,12,4.348314606741573,2.2321649875691767
14,13,5.579670329670329,2.7245893670132686
14,14,5.534626038781163,2.4231620609553612
14,15,6.318681318681318,2.9162001045328836
14,16,6.715068493150685,2.871978643324734
14,17,7.2,2.8247337713704765
14,18,9.717808219178082,3.5160285438774284
14,19,12.441095890410958,4.746306708078756
14,20,15.09041095890411,6.23531603364577
14,21,18.605479452054794,8.278993183647325
14,22,20.882191780821916,9.428436973026223
14,23,22.364383561643837,9.9214687003063
15,0,1.96028880866426,1.0943914610003735
15,1,1.638743455497382,0.9121210054457494
15,2,1.2890625,0.5771548973980478
15,3,1.2962962962962963,0.5109903238918632
15,4,1.2407407407407407,0.5615461028396506
15,5,1.1772151898734178,0.3842906776055266
15,6,1.2521008403361344,0.4909086593032851
15,7,1.3680555555555556,0.7265834194526224
15,8,1.4036144578313252,0.7133269526419578
15,9,1.4110429447852761,0.6824977850069719
15,10,1.528301886792453,0.8773617007011288
15,11,1.4583333333333333,0.6942454495249119
15,12,1.5669642857142858,0.8063524018865368
15,13,1.7346938775510203,0.8911107041510198
15,14,1.7352941176470589,0.8914112676822666
15,15,1.926056338028169,1.0389026269063444
15,16,1.9563758389261745,1.061148742110309
15,17,2.0950704225352115,1.1655131243704115
15,18,2.0384615384615383,1.1372125402374937
15,19,2.2958199356913185,1.278588644682473
15,20,2.204081632653061,1.342092378473902
15,21,2.127388535031847,1.1949099430002723
15,22,2.4083601286173635,1.3902172766659995
15,23,2.2432432432432434,1.2163943474173036
16,0,2.9390243902439024,1.6355945975322523
16,1,2.35191637630662,1.398621256651011
16,2,1.9791666666666667,1.2012821486053475
16,3,1.668639053254438,0.9431576491153602
16,4,1.8397435897435896,1.2365237165422855
16,5,1.4161073825503356,0.7175471652351652
16,6,1.3580246913580247,0.6651697018850188
16,7,1.454054054054054,0.6831013812475272
16,8,1.568075117370892,0.8474793669167598
16,9,1.741444866920152,0.9130484359420495
16,10,1.7279693486590038,0.8894376437580119
16,11,1.8015873015873016,0.9532485139772635
16,12,1.8888888888888888,1.0359103653338908
16,13,2.168918918918919,1.2123014309590114
16,14,2.0508474576271185,1.2565979448570754
16,15,2.279220779220779,1.2710597453224597
16,16,2.448717948717949,1.4041503560666433
16,17,2.2282958199356915,1.187014412479513
16,18,2.3271028037383177,1.253313365652567
16,19,2.625766871165644,1.5113351797280832
16,20,2.682634730538922,1.4502348173094977
16,21,3.247093023255814,1.67296902066091
16,22,3.8739495798319328,1.9075012561973541
16,23,3.643478260869565,1.952300242950575
17,0,39.227397260273975,13.635575442851128
17,1,30.106849315068494,14.798540252921631
17,2,21.876373626373628,13.890305874296155
17,3,17.01095890410959,12.822965764637042
17,4,16.635616438356163,13.382633590982689
17,5,7.612813370473537,5.633395301369921
17,6,4.833795013850415,2.6215070415650357
