PULocationID,puhour,mean_hour,sd_hour
9,2,1.0434782608695652,0.20851441405707488
9,3,1.1111111111111112,0.3333333333333333
9,4,1.0,0.0
9,5,1.0909090909090908,0.30151134457776363
9,6,1.0,0.0
9,7,1.0,0.0
9,8,1.105263157894737,0.3110117477759048
9,9,1.2173913043478262,0.5387776256706227
9,10,1.0909090909090908,0.2908033634511526
9,11,1.1,0.30304576336566325
9,12,1.054054054054054,0.22924343513512563
9,13,1.2238805970149254,0.6233072962246718
9,14,1.1014492753623188,0.30413462267999425
9,15,1.0588235294117647,0.23883257361061283
9,16,1.0625,0.3535533905932738
9,17,1.0588235294117647,0.24253562503633297
9,18,1.108695652173913,0.37878524373260003
9,19,1.0857142857142856,0.3293760963343255
9,20,1.1818181818181819,0.4045199174779452
9,21,1.0,0.0
9,22,1.0735294117647058,0.2629440931775465
9,23,1.0961538461538463,0.2976782961926057
10,0,2.2256944444444446,1.333473969063933
10,1,1.5853658536585367,0.8904617043239577
10,2,1.3240740740740742,0.746689938073783
10,3,1.3134328358208955,0.608250228210063
10,4,1.3015873015873016,0.5694887710196402
10,5,2.014388489208633,1.2075909814565453
10,6,4.780979827089337,3.022724370659548
10,7,5.098314606741573,3.082690880860579
10,8,4.459383753501401,2.620500994441738
10,9,3.7420289855072464,2.0043851488021938
10,10,3.3994169096209914,1.8655697618166034
10,11,2.7021943573667713,1.5054497060520942
10,12,3.230088495575221,1.6975906153931242
10,13,4.936111111111111,2.62701338388221
10,14,6.848484848484849,3.1070525136024987
10,15,6.950413223140496,3.073279709254654
10,16,12.632876712328768,6.6734683552561
10,17,5.980609418282548,2.7471521951164757
10,18,4.886363636363637,2.7865440539901325
10,19,3.7093023255813953,2.367743776372036
10,20,3.92,2.368465221860631
10,21,3.7002881844380404,2.373279706252204
10,22,2.9762611275964392,1.799313765536054
10,23,2.857142857142857,1.7324361787623361
11,0,1.0689655172413792,0.25788071477756375
11,1,1.0,0.0
11,2,1.0909090909090908,0.30151134457776363
11,3,1.0555555555555556,0.2357022603955158
11,4,1.1111111111111112,0.32338083338177726
11,5,1.0833333333333333,0.408248290463863
11,6,1.2,0.6102571532587293
11,7,1.1511627906976745,0.42057221134083544
11,8,1.2222222222222223,0.5244044240850758
11,9,1.1527777777777777,0.362297917338298
11,10,1.1785714285714286,0.5429596622265734
11,11,1.1746031746031746,0.422728561566347
11,12,1.0579710144927537,0.23540065789143494
11,13,1.2159090909090908,0.5763313150818646
11,14,1.2738095238095237,0.6082007927038188
11,15,1.1944444444444444,0.5210738881100352
11,16,1.1403508771929824,0.5154261929714112
11,17,1.1666666666666667,0.42337369193050706
11,18,1.1162790697674418,0.32435300622428814
11,19,1.121212121212121,0.5452966943311547
11,20,1.1428571428571428,0.3563483225498991
11,21,1.0238095238095237,0.1543033499620919
11,22,1.0526315789473684,0.22941573387056174
11,23,1.0,0.0
12,0,2.814516129032258,2.6750214664358576
12,1,1.9,1.4162697856764808
12,2,1.5630252100840336,1.2325985742007728
12,3,1.2388059701492538,0.5529412330768476
12,4,1.1176470588235294,0.3253956867279843
12,5,1.197674418604651,0.5045619519324592
12,6,1.3680555555555556,0.6767520930838674
12,7,1.8193832599118942,1.046686118345896
12,8,2.8860759493670884,1.8703184807968414
12,9,3.7134502923976607,2.157927571463015
12,10,4.8559322033898304,2.4388571502563665
12,11,8.6,4.247041633580089
12,12,11.7013698630137,5.695682120836513
12,13,14.090659340659341,6.553448031896799
12,14,15.41095890410959,7.4336545676956876
12,15,14.586776859504132,7.22182399346676
12,16,11.066115702479339,7.101554810526175
12,17,8.504225352112677,7.015467910664986
12,18,6.928571428571429,5.776450136271565
12,19,5.023121387283237,3.4075002648257615
12,20,4.611111111111111,3.236194580066554
12,21,4.446107784431137,3.3774245834920524
12,22,3.9589905362776023,2.869783036043107
12,23,3.460750853242321,2.6345950761190187
13,0,37.79178082191781,16.290813104329104
13,1,17.914835164835164,9.38000333193916
13,2,8.415730337078651,4.560229766299421
13,3,4.313218390804598,2.6172004728870886
13,4,6.897790055248619,3.0377214051493406
13,5,15.194520547945206,6.5181886348842175
13,6,57.367123287671234,31.447794061224325
13,7,121.44657534246575,70.64382508457594
13,8,178.3068493150685,94.59583826888561
13,9,155.0246575342466,56.93081346866408
13,10,129.73424657534247,26.204249609107247
13,11,139.0054794520548,27.82500205074367
13,12,149.66301369863012,26.36387131422258
13,13,153.56438356164384,24.697273561892157
13,14,154.96438356164384,23.930562151930786
13,15,145.0027397260274,22.312773977772693
13,16,129.0191780821918,22.349918611931407
13,17,148.05205479452056,26.836194752389883
13,18,165.95890410958904,34.65387660321555
13,19,161.52328767123288,41.5849141884725
13,20,148.25753424657535,48.05656556500223
13,21,133.93150684931507,48.12230548104568
13,22,106.4876712328767,39.423984253206946
13,23,64.72131147540983,27.3152861900655
14,0,1.480263157894737,0.8686626299815052
14,1,1.5294117647058822,0.9501748491770947
14,2,1.4770642201834863,0.7018009936773171
14,3,1.449438202247191,0.7539477308121111
14,4,1.2777777777777777,0.7071067811865476
14,5,1.2127659574468086,0.5261411647839924
14,6,1.2753623188405796,0.5765251552431692
14,7,1.989071038251366,1.32594180104596
14,8,1.799163179916318,1.195860915994536
14,9,1.75,0.9826697361914328
14,10,1.8193832599118942,1.0921982251777198
14,11,1.7878787878787878,1.0354710346043539
14,12,2.08502024291498,1.3483120656650025
14,13,2.012448132780083,1.373806535994151
14,14,1.945736434108527,1.3425689847828506
14,15,1.7174887892376682,1.024918792041183
14,16,1.6888888888888889,0.9687580004789964
14,17,1.6839378238341969,0.934635087140425
14,18,1.6666666666666667,0.939858145324779
14,19,1.5888888888888888,0.9262701615437885
14,20,1.4944444444444445,0.8221597271869192
14,21,1.5026737967914439,0.918005853934542
